AGUA_CRUDA,CLORO,SULFATO_AL,SULFATO_CU,PH_I,pH_S,COLOR_I,COLOR_S,TURBIEDAD_I,TURBIEDAD_S,,
38472.00,99.00,1000.00,30.00,7.73,7.12,202.00,25.00,49.61,0.32,,
39318.00,104.00,575.00,30.00,7.63,7.22,169.00,24.00,15.18,0.45,,
39101.00,104.00,500.00,30.00,7.69,7.07,215.00,26.00,18.93,0.41,,
40227.00,103.00,1000.00,30.00,7.38,6.98,202.00,21.00,17.71,0.41,,
38783.00,96.00,1000.00,30.00,7.58,6.97,235.00,30.00,21.02,0.41,,
39727.00,94.00,1000.00,30.00,7.49,7.00,173.00,27.00,14.94,0.35,,
34256.00,107.00,500.00,30.00,7.56,6.96,195.00,41.00,15.80,0.29,,
45148.00,104.00,1000.00,24.00,7.66,7.06,158.00,37.00,13.67,0.36,,
39453.00,104.00,550.00,24.00,7.66,7.05,204.00,45.00,16.65,0.44,,
41491.00,103.00,1000.00,30.00,7.70,7.00,205.00,54.00,16.26,0.35,,
40887.00,102.00,1000.00,24.00,7.74,6.91,176.00,44.00,14.33,0.38,,
40744.00,103.00,500.00,30.00,7.73,7.17,199.00,44.00,15.56,0.37,,
42259.00,102.00,1000.00,24.00,7.76,7.23,187.00,58.00,14.93,0.42,,
42382.00,109.00,500.00,24.00,7.80,7.32,213.00,59.00,16.30,0.38,,
42458.00,102.00,1000.00,30.00,7.76,7.23,217.00,49.00,17.67,0.36,,
42419.00,107.00,500.00,24.00,7.60,7.06,210.00,57.00,16.61,0.37,,
42022.00,104.00,1000.00,24.00,7.73,7.14,220.00,57.00,16.12,0.42,,
43051.00,110.00,1000.00,30.00,7.80,7.24,195.00,54.00,14.64,0.40,,
42186.00,109.00,500.00,24.00,7.78,7.24,202.00,65.00,15.21,0.40,,
43303.00,107.00,500.00,24.00,7.76,6.99,223.00,70.00,16.70,0.37,,
42061.00,104.00,1000.00,24.00,7.72,7.15,238.00,66.00,19.83,0.37,,
41136.00,106.00,1000.00,30.00,7.67,7.00,222.00,67.00,16.90,0.37,,
43346.00,104.00,500.00,24.00,7.72,7.07,228.00,64.00,17.97,0.32,,
42056.00,103.00,1000.00,24.00,7.75,7.04,229.00,64.00,17.98,0.38,,
41562.00,104.00,1000.00,30.00,7.75,7.06,208.00,65.00,16.05,0.36,,
40663.00,105.00,500.00,24.00,7.71,7.07,199.00,54.00,15.38,0.47,,
44935.00,105.00,1000.00,24.00,7.75,7.03,223.00,62.00,16.86,0.36,,
42364.00,111.00,1000.00,30.00,7.77,7.03,226.00,65.00,16.75,0.37,,
43804.00,114.00,500.00,24.00,7.71,7.00,204.00,63.00,15.43,0.36,,
41647.00,107.00,1000.00,24.00,7.77,7.05,169.00,41.00,14.43,0.38,,
44214.00,111.00,500.00,30.00,7.69,7.10,163.00,31.00,14.67,0.50,,
43839.00,110.00,1000.00,24.00,7.93,7.15,139.00,28.00,13.23,0.44,,
42841.00,111.00,500.00,24.00,7.83,7.12,149.00,34.00,13.40,0.44,,
43397.00,108.00,1000.00,24.00,7.72,6.82,176.00,48.00,13.82,0.38,,
43549.00,114.00,500.00,24.00,7.70,7.06,152.00,39.00,12.33,0.39,,
43784.50,112.00,1000.00,24.00,7.70,7.06,133.00,36.00,11.46,0.41,,
43784.50,110.00,500.00,18.00,7.73,7.04,135.00,33.00,11.16,0.36,,
43605.00,110.00,1000.00,20.00,7.69,7.04,129.00,32.00,10.84,0.36,,
43700.00,108.00,500.00,20.00,7.77,7.07,134.00,29.00,10.60,0.41,,
45061.00,114.00,1000.00,24.00,7.85,7.13,102.00,28.00,9.82,0.45,,
42272.00,103.00,500.00,24.00,7.77,7.10,132.00,32.00,10.96,0.39,,
43619.00,103.00,1000.00,36.00,7.72,7.04,129.00,27.00,12.27,0.32,,
40021.00,101.00,500.00,24.00,7.77,7.08,133.00,33.00,10.93,0.38,,
43930.00,100.00,500.00,24.00,7.74,7.08,133.00,29.00,10.65,0.42,,
43530.00,101.00,1000.00,24.00,7.84,7.16,121.00,31.00,9.78,0.33,,
45206.00,102.00,500.00,24.00,7.88,7.17,112.00,24.00,10.02,0.39,,
39635.00,86.00,1000.00,30.00,7.84,7.16,117.00,36.00,9.58,0.43,,
43434.00,108.00,500.00,30.00,7.71,7.07,114.00,38.00,10.41,0.40,,
38102.00,101.00,1000.00,20.00,7.82,7.07,122.00,29.00,10.36,0.34,,
38022.00,101.00,500.00,20.00,7.92,7.10,123.00,34.00,10.02,0.38,,
42815.00,101.00,1000.00,30.00,7.84,7.08,107.00,31.00,10.67,0.35,,
43412.00,91.00,500.00,30.00,7.77,7.07,123.00,26.00,12.65,0.40,,
43822.00,102.00,500.00,40.00,7.85,7.13,125.00,26.00,12.59,0.38,,
43103.00,98.00,500.00,30.00,7.87,7.10,98.00,29.00,11.63,0.52,,
43471.00,97.00,1000.00,40.00,7.68,6.98,99.00,34.00,12.59,0.49,,
42041.00,93.00,500.00,40.00,7.74,7.03,137.00,33.00,12.08,0.45,,
42811.00,97.00,1050.00,30.00,7.85,7.03,140.00,30.00,12.16,0.48,,
42020.00,104.00,500.00,30.00,7.73,7.02,134.00,34.00,11.52,0.35,,
42798.00,92.00,500.00,20.00,7.84,7.07,140.00,32.00,11.59,0.44,,
42912.00,96.00,1000.00,30.00,7.68,7.04,133.00,34.00,12.63,0.45,,
42801.00,98.00,500.00,20.00,7.73,7.13,125.00,26.00,22.53,0.38,,
42245.00,94.00,1000.00,20.00,7.74,7.04,119.00,29.00,11.36,0.30,,
40683.00,86.00,500.00,30.00,7.77,7.07,118.00,29.00,11.43,0.33,,
42297.00,100.00,500.00,20.00,7.73,7.05,129.00,29.00,10.16,0.37,,
43350.00,96.00,500.00,30.00,7.69,7.01,120.00,31.00,11.04,0.38,,
42765.00,99.00,1000.00,20.00,7.73,7.03,97.00,32.00,10.12,0.30,,
42086.00,97.00,500.00,30.00,7.76,7.04,88.00,34.00,9.77,0.43,,
42647.00,98.00,500.00,30.00,7.77,7.00,108.00,33.00,10.37,0.40,,
43534.00,102.00,1000.00,30.00,7.75,7.01,104.00,25.00,10.32,0.34,,
43264.00,97.00,500.00,20.00,7.74,7.03,123.00,32.00,10.62,0.32,,
