V_COD_ESTA,V_ANO,V_MES,V_DIA,N_VI101,N_VI102,N_VI103,V_VT101,N_VT102,V_VT103,N_VT104,V_VT105,N_VT106,V_NB104,N_NB105,N_NB106,V_NB107,N_NB108,V_NB109,N_NB110,V_NB111,N_NB112,N_NB113,V_NB114,N_NB115,V_NB116,N_NB117,V_NB118,N_NB119,N_NB120,V_NB121,N_NB122,V_NB123,N_NB124,N_TM102,N_TM103,N_TM104,N_TM105,N_TM106,N_TM107,N_TM108,N_TM109,N_PT101,N_PT102,N_PT103,N_EV103,N_EV104,N_EV109
374,2013,2,9,40,39,1,W,2,E,2,W,4,CU,8,1300,,,,,CU,5,1400,AC,3,,,ST,8,300,,,,,17.6,8.8,8.9,16.6,10,7.8,11.2,9,2.9,0,2,0.3,1.3,1.5
374,2013,2,10,40,42,10,W,2,W,4,W,7,CU,1,1400,AC,2,,,CU,2,1400,,,CI,1,CU,8,1200,,,,,18.4,6.4,6.6,18,12,6.6,12,9.2,0.1,0.9,0,0.2,1.7,2.1
374,2013,2,11,35,38,12,W,2,W,2,W,7,CU,2,1400,AC,2,,,CU,5,1300,AC,2,,,CU,8,1200,,,,,16.4,6.6,7.2,15.6,11.2,6,10.2,9,1,0.1,1,0.4,1.1,1.8
374,2013,2,12,38,40,8,W,2,W,4,E,7,CU,5,1300,AC,3,,,CU,6,1400,AC,1,,,CU,1,1300,AC,3,,,17.1,5.4,6.8,16.5,11.4,6.4,10.6,8.5,0,0,0,0.7,1.7,2
374,2013,2,13,42,39,15,W,2,W,2,W,4,,,,AS,8,,,CU,6,1300,AC,2,,,CU,2,1400,,,CI,1,18.4,4.3,5.9,16.8,12.2,5.2,9.8,8.9,0,0,0,0.3,2.1,2.4
374,2013,2,14,40,40,10,E,2,W,2,W,7,CU,2,1400,AS,4,CI,2,CU,4,1400,AC,2,,,CU,8,1200,,,,,20.3,4.2,5,18.2,12.2,4.8,10.1,9.2,0,0,0,0.3,2.3,2.8
374,2013,2,15,42,35,2,W,2,E,2,E,2,CU,8,1300,,,,,CU,8,1200,,,,,SC,8,1000,,,,,16.2,5.9,7.8,14.2,10.4,7.2,10,9,1.1,0,1.1,0.5,1,1.2
374,2013,2,16,30,40,2,E,2,E,2,E,4,CU,8,1300,,,,,CU,4,1400,AC,1,,,CU,2,1300,AS,1,CI,3,18.5,6.8,8,17.4,12.9,7.6,12,9.6,0,0,0,0.2,1.7,2.1
374,2013,2,17,38,39,8,W,2,E,2,E,2,CU,3,1300,AC,2,CI,1,CU,6,1400,AC,2,,,CU,6,1300,AC,2,,,18.8,7.8,8.6,16,11.6,8,11.8,8.6,4.7,0,4.6,0.4,1.2,1.3
374,2013,2,18,35,30,2,E,2,W,2,E,2,CU,7,1300,AC,1,,,CU,5,1300,AC,2,,,CU,8,1200,,,,,16.4,5.6,8.6,13.2,12,8.2,11.2,10.4,8.2,0.1,5.5,0.1,1.2,1.4
374,2013,2,19,30,38,10,E,2,E,2,W,4,CU,8,1300,,,,,CU,3,1400,AC,3,CI,1,CU,5,1300,AC,3,,,18.2,9,9.2,17.4,13.4,8.8,12,10.6,0,2.7,0,0.2,1.5,1.9
374,2013,2,20,28,36,6,E,2,W,4,E,4,CU,8,1200,,,,,CU,4,1400,AC,2,,,SC,6,1000,AC,2,,,18.1,9.6,10.2,17,11,9.2,12.5,9.6,3.3,0,3.3,0.4,1.4,1.6
374,2013,2,21,36,40,2,W,2,E,4,E,2,CU,3,1400,AC,2,CI,1,CU,6,1300,AC,2,,,ST,8,500,,,,,19.8,7.8,9.2,17.4,13.2,8.6,12,11.1,0.6,0,0,0.2,1.8,2.1
