;Mes;tx;tm;pp;etp
2151;11;17.1309934;6.750520591;9.450506056;1.827465796
2152;11;20.03564058;5.227082222;5.946447158;1.851488064
2153;11;20.01650711;4.969274549;13.89991588;1.905898049
2154;11;19.27440808;5.469561631;1.318255478;2.050695577
2155;11;20.25488965;4.298363447;3.118983006;2.188853671
2156;11;20.45849503;4.035505513;3.989329691;2.163264109
2157;11;20.10860211;2.763673549;0.969146032;2.1670526
2158;11;20.29413947;0.514932181;4.482300161;2.34939221
2159;11;19.89536137;1.022819277;1.967124246;2.213167987
2160;11;19.96012055;1.601632772;3.775366381;2.216882642
2161;12;19.7368784;3.231344968;2.787504292;2.230539086
2162;12;18.95003465;1.82076722;6.309382103;2.243998787
2163;12;18.29006052;3.150300657;3.018538876;2.252308215
2164;12;16.1359152;4.885886678;3.862426497;2.271965848
2165;12;18.50573408;5.399616882;3.057804328;2.347619108
2166;12;19.41696313;6.16861072;8.983138777;2.318727274
2167;12;18.51131391;6.118818487;13.65453378;2.283808195
2168;12;18.62095986;6.612190895;5.911132924;2.219665892
2169;12;19.16329816;7.449161477;3.64841185;2.303065528
2170;12;19.55361559;6.938589026;1.572030925;2.407960421
2171;12;18.77609818;7.776165194;15.06608554;2.41195781
2172;12;18.25646761;7.855944969;7.008401896;2.479075354
2173;12;17.9944288;6.971122421;7.482764733;2.519769008
2174;12;17.64286811;6.322708818;9.964051789;2.572699163
2175;12;17.06004325;5.992394893;5.201340153;2.470874478
2176;12;16.85014015;5.610109818;7.252510376;2.483929458
2177;12;18.63881022;6.052952009;10.81452743;2.50614837
2178;12;18.14777414;6.583261689;14.51863062;2.543771632
2179;12;18.12971839;6.893117431;10.34552306;2.411507038
2180;12;18.98492499;6.899856762;6.726921722;2.254885684
2181;12;18.42634593;7.562765878;8.582461501;2.530051953
2182;12;17.97450999;7.816551173;3.980976633;2.446035933
2183;12;18.85775138;7.523348164;5.926724999;2.500827717
2184;12;17.80480599;8.270513582;4.423216015;2.445894735
2185;12;17.5695911;7.753153137;3.667132576;2.591811667
2186;12;18.07038648;7.653575926;9.973964228;2.71487441
2187;12;18.79399251;7.792185619;5.014899348;2.688407807
2188;12;19.24724004;7.319276014;8.551787333;2.647079788
2189;12;18.71037471;7.376197611;4.923962056;2.69623745
2190;12;18.9661756;6.81278531;3.852808606;2.564353016
2191;12;17.90714652;7.550407905;5.224110798;2.183031823
2192;1;17.54011849;7.696928439;7.983607147;2.629930988
2193;1;17.20146627;7.982472403;8.448454441;2.756891353
2194;1;17.60722344;8.076376612;7.190650848;2.535058539
2195;1;16.96112993;7.589501887;10.84445976;2.561093879
2196;1;17.17292417;7.663900714;5.028996228;2.394038311
2197;1;16.66582902;8.303907036;11.98544435;2.317330919
2198;1;16.83562268;7.71452857;10.56636788;2.626268365
2199;1;17.72073798;7.552814114;6.923494963;2.759041432
2200;1;16.51668249;7.117467551;5.476770606;2.803770903
2201;1;17.10326915;6.741211718;6.022643647;2.744124611
2202;1;18.00725154;6.022456292;3.756579877;2.341128877
2203;1;18.93264703;6.084630076;2.306270738;2.852196942
2204;1;19.10239866;6.141390021;4.991594463;2.798383808
2205;1;18.08682043;7.141126179;15.26534707;2.781202336
2206;1;17.12961272;8.138873376;15.5264407;2.808108307
2207;1;18.44778972;7.703318112;4.993558245;2.936993992
2208;1;17.81267887;8.168576036;6.674314494;2.741814972
2209;1;18.2745777;8.03267196;2.675921509;2.895894532
2210;1;17.88351801;7.806155243;3.986508018;2.859941786
2211;1;17.69850536;8.259231926;18.57465818;2.891542909
2212;1;16.89445489;8.173081526;8.191728203;2.783212477
2213;1;15.87905609;8.163793025;6.048148319;2.247342617
2214;1;16.27332904;8.184694216;8.925522478;2.884271853
2215;1;16.83266738;7.71533017;10.6485013;2.858123792
2216;1;17.120784;7.799351975;11.48700546;2.818175834
2217;1;17.15757868;8.125530261;10.93518755;2.769496314
2218;1;16.70088982;8.153772714;13.96170109;2.59464908
2219;1;17.06898622;8.375147547;11.78092808;2.654246871
2220;1;19.16030357;8.521201976;3.577259132;2.803417562
2221;1;19.98578623;7.833070322;2.751006024;2.817231738
2222;1;21.64222803;5.741888898;2.00345263;2.916198822
2223;2;19.93267003;6.420152121;8.953701344;2.917113802
2224;2;18.68835508;6.56837123;4.751786401;2.896268102
2225;2;19.34839273;6.380773738;4.044836778;1.776815645
2226;2;18.84624113;5.532146991;4.885319227;2.165174354
2227;2;20.13194867;4.819385338;1.777269831;2.952453311
2228;2;20.34977432;5.062167697;3.430854142;2.9059123
2229;2;19.74444832;5.536192309;5.133894927;2.996933896
2230;2;19.38244809;6.098910975;5.921188788;2.903303092
2231;2;16.69944077;7.104021124;8.943428448;2.894230372
2232;2;17.23010497;6.633879509;6.139397467;2.873708584
2233;2;17.86627006;6.580451686;4.956229005;2.96437245
2234;2;17.30655965;6.915242394;5.231238435;3.102629015
2235;2;16.8547398;6.365370529;3.238045835;3.203477713
2236;2;17.10873593;5.690663669;1.194113088;3.095376751
2237;2;17.20498211;6.308816884;1.598378074;2.192249219
2238;2;18.60571787;5.768190972;0.356565762;2.95802859
2239;2;18.78880009;5.360087004;0.808221965;2.976848569
2240;2;19.44437017;5.62022528;1.127408372;2.816613674
2241;2;18.84273356;5.854982223;5.40727642;2.712917317
2242;2;20.89487265;5.90476194;6.164196886;2.761168402
2243;2;20.86987216;5.3370101;6.087453365;2.722267277
2244;2;19.25744314;5.760346379;5.520567908;2.820966172
2245;2;19.71576807;6.06383572;5.91123147;2.91772091
2246;2;20.65052485;6.973670889;5.558159705;2.922505635
2247;2;20.91656316;5.579801946;7.586065069;3.014649726
2248;2;20.99655306;6.330777405;1.44570802;2.120432969
2249;2;18.54818374;7.080986493;6.879717162;3.007384698
2250;2;18.75841279;7.113326829;1.643201212;3.089459841
2251;3;18.31666949;7.090712242;4.627325212;3.032268741
2252;3;19.07755056;7.127949682;5.403265105;3.094190308
2253;3;19.60764789;6.76203895;6.620873999;3.02295291
2254;3;20.46615978;6.159901625;4.733531538;3.026830925
2255;3;20.46060835;5.666514502;3.722671805;2.934754985
2256;3;19.32108659;6.050509485;3.973626523;3.034675279
2257;3;18.82211961;5.845789354;3.393004098;3.082234959
2258;3;19.44657202;5.756711364;0.79897598;3.071806302
2259;3;19.86404022;4.493264421;4.083275543;2.123443228
2260;3;18.82542824;3.517835179;8.152090197;2.967410686
2261;3;18.06090283;4.187779697;0.663599308;2.86459621
2262;3;18.2323251;4.9161456;0.266649003;2.98817006
2263;3;17.94633974;3.111396891;0.070423275;2.9375619
2264;3;16.97537093;3.010517711;0.377229462;2.970645769
2265;3;16.65856389;4.926153961;1.484857373;2.958530887
2266;3;16.37784978;5.815066651;1.566939325;3.032709211
2267;3;17.48307488;4.771825717;1.170812655;2.929411924
2268;3;19.0289459;5.471684427;1.154642141;3.044384513
2269;3;18.94255562;5.735835506;1.583321013;2.976901243
2270;3;18.85151833;5.433634702;2.696095163;2.141202528
2271;3;18.41557667;6.667213887;8.744609426;3.010119879
2272;3;18.52304023;6.207805537;2.861976495;2.918723638
2273;3;19.0996483;5.481871709;3.418809165;2.926028012
2274;3;20.10015638;6.107677488;1.076680447;2.958625614
2275;3;20.28357736;5.118046793;6.850470856;3.025087499
2276;3;21.07783938;3.287625857;0.8889449;3.013863134
2277;3;20.20237951;4.081444046;4.754542762;2.871952976
2278;3;20.01096597;5.169954059;0.947939447;2.834614072
2279;3;19.74112755;6.123879181;1.138609326;2.940436395
2280;3;19.13722909;5.363336581;1.830561481;3.031882404
2281;3;19.66734609;5.561893739;5.514878121;2.165840524
2282;4;19.21960552;3.04948092;5.433671543;2.989667295
2283;4;17.87769157;5.446742709;7.627652833;3.182352249
2284;4;17.47343357;5.368562598;0.450206137;3.099826799
2285;4;19.77837889;5.519808588;0.433237583;3.058747403
2286;4;20.10016602;4.035328198;0.139539023;2.828788675
2287;4;20.81627671;4.22092906;0.138105931;3.046936944
2288;4;20.53250157;4.516934689;0.051764914;2.979937183
2289;4;20.97485185;4.642824893;0.080358902;2.991059397
2290;4;20.26861566;4.075453352;1.017591484;2.945748816
2291;4;19.85123946;4.4682129;2.343907953;3.051613835
2292;4;19.16434308;4.827966453;2.655859224;2.100662082
2293;4;20.16217562;5.302804406;1.683423633;2.941564187
2294;4;19.80331026;4.738361043;5.965247165;2.919422241
