"fecha_hora","Costa_Norte","Costa_Centro","Costa_Sur","Sierra_Norte","Sierra_Centro","Sierra_Sur","Selva_Norte","Selva_Centro","Selva_Sur"
1976-07-16,101121.015625,101394.234375,101721.1640625,101162.0078125,101341.3359375,101504.015625,101191.234375,101250.3125,101439.6875
1976-08-16,101223.328125,101456.1640625,101733.9921875,101249.046875,101392.8359375,101546.1015625,101263,101310.546875,101484.3125
1976-09-16,101381.8125,101570.0625,101811.6484375,101389.8515625,101509.09375,101644.921875,101400.3203125,101430.9609375,101585.5859375
1976-10-16,101376.484375,101558.34375,101752.5,101379.4921875,101485.96875,101601.640625,101389.890625,101401.8671875,101533.421875
1976-11-16,101222.1875,101364.4375,101510.0625,101217.7578125,101286.4375,101362.59375,101238.1640625,101207.3828125,101295.6796875
1976-12-16,101162.1796875,101281.265625,101404.109375,101155.0078125,101193.5390625,101249.6953125,101195.3359375,101114.2421875,101182.34375
1977-01-16,101105.0546875,101067.8515625,101099.453125,101083.390625,101056.5703125,101036.0625,101166.2890625,101051.6640625,100994.9453125
1977-02-15,101069.3125,101014.6796875,100928.015625,101058.921875,100982.0234375,100912.7265625,101132.4453125,101003.234375,100888.5859375
1977-03-16,101051.5859375,101038,101079.3984375,101038.9296875,101002.4453125,100951.171875,101116.171875,101000.4140625,100931.984375
1977-04-16,100995.1328125,101143.2734375,101433.5546875,101007.640625,101110.90625,101257.5234375,101079.3359375,101048.0234375,101207.1171875
1977-05-16,101012.0625,101209.8203125,101511.8984375,101022.03125,101157.234375,101315.109375,101081.03125,101068.21875,101256.0859375
1977-06-16,100911.9453125,101165.1796875,101475.078125,100943.875,101124.1015625,101285.875,101006.4765625,101035.328125,101235.7578125
1977-07-16,100992.265625,101301.6015625,101623.9921875,101035.921875,101253.15625,101427.8828125,101079.984375,101148.9609375,101367.7890625
1977-08-16,101042.9140625,101328.1328125,101608.5625,101085.0703125,101265.2734375,101424.3203125,101107.15625,101163.453125,101360.1796875
1977-09-16,101257.125,101488.7890625,101685.0234375,101278.1328125,101407.9140625,101528.0546875,101291.1875,101314.3828125,101458.1484375
1977-10-16,101305.1875,101517.796875,101730.03125,101312.578125,101428,101549.5546875,101326.828125,101330.7734375,101470.21875
1977-11-16,101153.265625,101323.5390625,101484.9921875,101155.2265625,101254.8515625,101358.4765625,101181.2890625,101166.9296875,101295.21875
1977-12-16,101003.625,101122.3203125,101273.7265625,100999.859375,101037.5,101121.796875,101042.609375,100965.015625,101050.1875
1978-01-16,101010.8359375,100926.6640625,101042.515625,100980.09375,100892.2890625,100898.7421875,101061.5625,100919.09375,100866.1796875
1978-02-15,101130.296875,101028.84375,100827.0703125,101107.0390625,100999.28125,100861.6953125,101186.328125,101040.109375,100863.2578125
1978-03-16,101128.25,101143.3203125,101242.171875,101122.4296875,101113.9375,101138.828125,101196.421875,101099.703125,101105.46875
1978-04-16,101059.71875,101182.734375,101401.3125,101067.078125,101138.1796875,101238.265625,101141.578125,101081.3984375,101186.3203125
1978-05-16,101100.9296875,101330.796875,101623.2890625,101132.2578125,101290.3359375,101443.0859375,101192.4453125,101211.015625,101389.90625
1978-06-16,101073.609375,101353.5703125,101672.3828125,101115.5546875,101304.734375,101468.8046875,101147.7109375,101215.09375,101410.265625
1978-07-16,101198.2109375,101430.53125,101714.5234375,101232.5625,101381.8671875,101525.8125,101251.7734375,101307.1484375,101470.0703125
1978-08-16,101353.34375,101581.4375,101875.2265625,101373.796875,101513.4296875,101663.90625,101382.71875,101429.625,101592.6953125
1978-09-16,101418.3671875,101594.296875,101853.734375,101424.3828125,101541.96875,101682.6640625,101424.1484375,101466.671875,101624.328125
