Código	Mes	CWD	Estación	Departamento	Provincia	Distrito	Longitud	Latitud	Altitud (msnm)	Sector
100043	11	0	FONAGRO-(CHINCHA)	ICA	CHINCHA	CHINCHA BAJA	-76.15166667	-13.45944444	47	COSTA SUR
100043	12	0	FONAGRO-(CHINCHA)	ICA	CHINCHA	CHINCHA BAJA	-76.15166667	-13.45944444	47	COSTA SUR
100044	1	7	GRANJA-KCAYRA				-71.87528	-13.55694	3214	
100044	2	6	GRANJA-KCAYRA				-71.87528	-13.55694	3214	
100044	3	5	GRANJA-KCAYRA				-71.87528	-13.55694	3214	
100044	4	2	GRANJA-KCAYRA				-71.87528	-13.55694	3214	
100044	5	1	GRANJA-KCAYRA				-71.87528	-13.55694	3214	
100044	6	0	GRANJA-KCAYRA				-71.87528	-13.55694	3214	
100044	7	1	GRANJA-KCAYRA				-71.87528	-13.55694	3214	
100044	8	1	GRANJA-KCAYRA				-71.87528	-13.55694	3214	
100044	9	1	GRANJA-KCAYRA				-71.87528	-13.55694	3214	
100044	10	3	GRANJA-KCAYRA				-71.87528	-13.55694	3214	
100044	11	3	GRANJA-KCAYRA				-71.87528	-13.55694	3214	
100044	12	5	GRANJA-KCAYRA				-71.87528	-13.55694	3214	
100046	1	0	HACIENDA-BERNALES	ICA	PISCO	HUMAY	-75.96640556	-13.74113611	293	COSTA SUR
100046	2	0	HACIENDA-BERNALES	ICA	PISCO	HUMAY	-75.96640556	-13.74113611	293	COSTA SUR
100046	3	0	HACIENDA-BERNALES	ICA	PISCO	HUMAY	-75.96640556	-13.74113611	293	COSTA SUR
100046	4	0	HACIENDA-BERNALES	ICA	PISCO	HUMAY	-75.96640556	-13.74113611	293	COSTA SUR
100046	5	0	HACIENDA-BERNALES	ICA	PISCO	HUMAY	-75.96640556	-13.74113611	293	COSTA SUR
100046	6	0	HACIENDA-BERNALES	ICA	PISCO	HUMAY	-75.96640556	-13.74113611	293	COSTA SUR
100046	7	0	HACIENDA-BERNALES	ICA	PISCO	HUMAY	-75.96640556	-13.74113611	293	COSTA SUR
100046	8	0	HACIENDA-BERNALES	ICA	PISCO	HUMAY	-75.96640556	-13.74113611	293	COSTA SUR
100046	9	0	HACIENDA-BERNALES	ICA	PISCO	HUMAY	-75.96640556	-13.74113611	293	COSTA SUR
100046	10	0	HACIENDA-BERNALES	ICA	PISCO	HUMAY	-75.96640556	-13.74113611	293	COSTA SUR
100046	11	0	HACIENDA-BERNALES	ICA	PISCO	HUMAY	-75.96640556	-13.74113611	293	COSTA SUR
100046	12	0	HACIENDA-BERNALES	ICA	PISCO	HUMAY	-75.96640556	-13.74113611	293	COSTA SUR
100055	1	7	HUANCASANCOS	AYACUCHO	HUANCA SANCOS	SANCOS	-74.33361111	-13.91694444	3440	SIERRA SUR ORIENTAL
100055	2	7	HUANCASANCOS	AYACUCHO	HUANCA SANCOS	SANCOS	-74.33361111	-13.91694444	3440	SIERRA SUR ORIENTAL
100055	3	7	HUANCASANCOS	AYACUCHO	HUANCA SANCOS	SANCOS	-74.33361111	-13.91694444	3440	SIERRA SUR ORIENTAL
100055	4	4	HUANCASANCOS	AYACUCHO	HUANCA SANCOS	SANCOS	-74.33361111	-13.91694444	3440	SIERRA SUR ORIENTAL
100055	5	1	HUANCASANCOS	AYACUCHO	HUANCA SANCOS	SANCOS	-74.33361111	-13.91694444	3440	SIERRA SUR ORIENTAL
100055	6	1	HUANCASANCOS	AYACUCHO	HUANCA SANCOS	SANCOS	-74.33361111	-13.91694444	3440	SIERRA SUR ORIENTAL
100055	7	1	HUANCASANCOS	AYACUCHO	HUANCA SANCOS	SANCOS	-74.33361111	-13.91694444	3440	SIERRA SUR ORIENTAL
100055	8	1	HUANCASANCOS	AYACUCHO	HUANCA SANCOS	SANCOS	-74.33361111	-13.91694444	3440	SIERRA SUR ORIENTAL
100055	9	2	HUANCASANCOS	AYACUCHO	HUANCA SANCOS	SANCOS	-74.33361111	-13.91694444	3440	SIERRA SUR ORIENTAL
100055	10	3	HUANCASANCOS	AYACUCHO	HUANCA SANCOS	SANCOS	-74.33361111	-13.91694444	3440	SIERRA SUR ORIENTAL
100055	11	3	HUANCASANCOS	AYACUCHO	HUANCA SANCOS	SANCOS	-74.33361111	-13.91694444	3440	SIERRA SUR ORIENTAL
100055	12	6	HUANCASANCOS	AYACUCHO	HUANCA SANCOS	SANCOS	-74.33361111	-13.91694444	3440	SIERRA SUR ORIENTAL
100059	1	7	ICHUÑA	MOQUEGUA	GENERAL SANCHEZ CERRO	ICHUÑA	-70.5427	-16.14109	3874	SIERRA SUR OCCIDENTAL
100059	2	9	ICHUÑA	MOQUEGUA	GENERAL SANCHEZ CERRO	ICHUÑA	-70.5427	-16.14109	3874	SIERRA SUR OCCIDENTAL
100059	3	5	ICHUÑA	MOQUEGUA	GENERAL SANCHEZ CERRO	ICHUÑA	-70.5427	-16.14109	3874	SIERRA SUR OCCIDENTAL
100059	4	3	ICHUÑA	MOQUEGUA	GENERAL SANCHEZ CERRO	ICHUÑA	-70.5427	-16.14109	3874	SIERRA SUR OCCIDENTAL
100059	5	1	ICHUÑA	MOQUEGUA	GENERAL SANCHEZ CERRO	ICHUÑA	-70.5427	-16.14109	3874	SIERRA SUR OCCIDENTAL
100059	6	1	ICHUÑA	MOQUEGUA	GENERAL SANCHEZ CERRO	ICHUÑA	-70.5427	-16.14109	3874	SIERRA SUR OCCIDENTAL
100059	7	1	ICHUÑA	MOQUEGUA	GENERAL SANCHEZ CERRO	ICHUÑA	-70.5427	-16.14109	3874	SIERRA SUR OCCIDENTAL
